year,export_column,source_column,original_arrow_type,label,value_labels_json,missing_codes_json,source_files_json
2000,ACHPRESS,ACHPRESS,double,Achievement press (WLE),{},"[""97""]","[""data/Global/pisa/historical_raw/2000/student_questionnaire/intstud_read_v3.txt"", ""data/Global/pisa/historical_raw/2000/student_questionnaire/PISA2000_SPSS_student_reading.txt"", ""data/Global/pisa/historical_raw/2000/student_questionnaire/intstud_math_v3.txt"", ""data/Global/pisa/historical_raw/2000/student_questionnaire/PISA2000_SPSS_student_mathematics.txt"", ""data/Global/pisa/historical_raw/2000/student_questionnaire/intstud_scie_v3.txt"", ""data/Global/pisa/historical_raw/2000/student_questionnaire/PISA2000_SPSS_student_science.txt""]"
2000,AGE,AGE,int64,Student age in months,{},"[""997"", ""998"", ""999""]","[""data/Global/pisa/historical_raw/2000/student_questionnaire/intstud_read_v3.txt"", ""data/Global/pisa/historical_raw/2000/student_questionnaire/PISA2000_SPSS_student_reading.txt"", ""data/Global/pisa/historical_raw/2000/student_questionnaire/intstud_math_v3.txt"", ""data/Global/pisa/historical_raw/2000/student_questionnaire/PISA2000_SPSS_student_mathematics.txt"", ""data/Global/pisa/historical_raw/2000/student_questionnaire/intstud_scie_v3.txt"", ""data/Global/pisa/historical_raw/2000/student_questionnaire/PISA2000_SPSS_student_science.txt""]"
2000,BELONG,BELONG,double,Sense of belonging (WLE),{},"[""97""]","[""data/Global/pisa/historical_raw/2000/student_questionnaire/intstud_read_v3.txt"", ""data/Global/pisa/historical_raw/2000/student_questionnaire/PISA2000_SPSS_student_reading.txt"", ""data/Global/pisa/historical_raw/2000/student_questionnaire/intstud_math_v3.txt"", ""data/Global/pisa/historical_raw/2000/student_questionnaire/PISA2000_SPSS_student_mathematics.txt"", ""data/Global/pisa/historical_raw/2000/student_questionnaire/intstud_scie_v3.txt"", ""data/Global/pisa/historical_raw/2000/student_questionnaire/PISA2000_SPSS_student_science.txt""]"
2000,BFMJ,BFMJ,int64,Father international social and economical index,{},"[""97"", ""98"", ""99""]","[""data/Global/pisa/historical_raw/2000/student_questionnaire/intstud_read_v3.txt"", ""data/Global/pisa/historical_raw/2000/student_questionnaire/PISA2000_SPSS_student_reading.txt"", ""data/Global/pisa/historical_raw/2000/student_questionnaire/intstud_math_v3.txt"", ""data/Global/pisa/historical_raw/2000/student_questionnaire/PISA2000_SPSS_student_mathematics.txt"", ""data/Global/pisa/historical_raw/2000/student_questionnaire/intstud_scie_v3.txt"", ""data/Global/pisa/historical_raw/2000/student_questionnaire/PISA2000_SPSS_student_science.txt""]"
2000,BMMJ,BMMJ,int64,Mother international social and economical index,{},"[""97"", ""98"", ""99""]","[""data/Global/pisa/historical_raw/2000/student_questionnaire/intstud_read_v3.txt"", ""data/Global/pisa/historical_raw/2000/student_questionnaire/PISA2000_SPSS_student_reading.txt"", ""data/Global/pisa/historical_raw/2000/student_questionnaire/intstud_math_v3.txt"", ""data/Global/pisa/historical_raw/2000/student_questionnaire/PISA2000_SPSS_student_mathematics.txt"", ""data/Global/pisa/historical_raw/2000/student_questionnaire/intstud_scie_v3.txt"", ""data/Global/pisa/historical_raw/2000/student_questionnaire/PISA2000_SPSS_student_science.txt""]"
2000,BRTHORD,BRTHORD,int64,Birth oder,{},"[""8"", ""9"", ""7""]","[""data/Global/pisa/historical_raw/2000/student_questionnaire/intstud_read_v3.txt"", ""data/Global/pisa/historical_raw/2000/student_questionnaire/PISA2000_SPSS_student_reading.txt"", ""data/Global/pisa/historical_raw/2000/student_questionnaire/intstud_math_v3.txt"", ""data/Global/pisa/historical_raw/2000/student_questionnaire/PISA2000_SPSS_student_mathematics.txt"", ""data/Global/pisa/historical_raw/2000/student_questionnaire/intstud_scie_v3.txt"", ""data/Global/pisa/historical_raw/2000/student_questionnaire/PISA2000_SPSS_student_science.txt""]"
2000,BTHR,BTHR,int64,Student self-expected international social and economical index,{},"[""97"", ""98"", ""99""]","[""data/Global/pisa/historical_raw/2000/student_questionnaire/intstud_read_v3.txt"", ""data/Global/pisa/historical_raw/2000/student_questionnaire/PISA2000_SPSS_student_reading.txt"", ""data/Global/pisa/historical_raw/2000/student_questionnaire/intstud_math_v3.txt"", ""data/Global/pisa/historical_raw/2000/student_questionnaire/PISA2000_SPSS_student_mathematics.txt"", ""data/Global/pisa/historical_raw/2000/student_questionnaire/intstud_scie_v3.txt"", ""data/Global/pisa/historical_raw/2000/student_questionnaire/PISA2000_SPSS_student_science.txt""]"
2000,CC01Q01,CC01Q01,int64,Memorise - CC1/1,"{""1"": ""Never"", ""2"": ""Some"", ""3"": ""Often"", ""4"": ""Always""}","[""8"", ""9"", ""7""]","[""data/Global/pisa/historical_raw/2000/student_questionnaire/intstud_read_v3.txt"", ""data/Global/pisa/historical_raw/2000/student_questionnaire/PISA2000_SPSS_student_reading.txt"", ""data/Global/pisa/historical_raw/2000/student_questionnaire/intstud_math_v3.txt"", ""data/Global/pisa/historical_raw/2000/student_questionnaire/PISA2000_SPSS_student_mathematics.txt"", ""data/Global/pisa/historical_raw/2000/student_questionnaire/intstud_scie_v3.txt"", ""data/Global/pisa/historical_raw/2000/student_questionnaire/PISA2000_SPSS_student_science.txt""]"
2000,CC01Q02,CC01Q02,int64,Understand - CC1/2,"{""1"": ""Never"", ""2"": ""Some"", ""3"": ""Often"", ""4"": ""Always""}","[""8"", ""9"", ""7""]","[""data/Global/pisa/historical_raw/2000/student_questionnaire/intstud_read_v3.txt"", ""data/Global/pisa/historical_raw/2000/student_questionnaire/PISA2000_SPSS_student_reading.txt"", ""data/Global/pisa/historical_raw/2000/student_questionnaire/intstud_math_v3.txt"", ""data/Global/pisa/historical_raw/2000/student_questionnaire/PISA2000_SPSS_student_mathematics.txt"", ""data/Global/pisa/historical_raw/2000/student_questionnaire/intstud_scie_v3.txt"", ""data/Global/pisa/historical_raw/2000/student_questionnaire/PISA2000_SPSS_student_science.txt""]"
2000,CC01Q03,CC01Q03,int64,Need to learn - CC1/3,"{""1"": ""Never"", ""2"": ""Some"", ""3"": ""Often"", ""4"": ""Always""}","[""8"", ""9"", ""7""]","[""data/Global/pisa/historical_raw/2000/student_questionnaire/intstud_read_v3.txt"", ""data/Global/pisa/historical_raw/2000/student_questionnaire/PISA2000_SPSS_student_reading.txt"", ""data/Global/pisa/historical_raw/2000/student_questionnaire/intstud_math_v3.txt"", ""data/Global/pisa/historical_raw/2000/student_questionnaire/PISA2000_SPSS_student_mathematics.txt"", ""data/Global/pisa/historical_raw/2000/student_questionnaire/intstud_scie_v3.txt"", ""data/Global/pisa/historical_raw/2000/student_questionnaire/PISA2000_SPSS_student_science.txt""]"
2000,CC01Q04,CC01Q04,int64,Difficult - CC1/4,"{""1"": ""Never"", ""2"": ""Some"", ""3"": ""Often"", ""4"": ""Always""}","[""8"", ""9"", ""7""]","[""data/Global/pisa/historical_raw/2000/student_questionnaire/intstud_read_v3.txt"", ""data/Global/pisa/historical_raw/2000/student_questionnaire/PISA2000_SPSS_student_reading.txt"", ""data/Global/pisa/historical_raw/2000/student_questionnaire/intstud_math_v3.txt"", ""data/Global/pisa/historical_raw/2000/student_questionnaire/PISA2000_SPSS_student_mathematics.txt"", ""data/Global/pisa/historical_raw/2000/student_questionnaire/intstud_scie_v3.txt"", ""data/Global/pisa/historical_raw/2000/student_questionnaire/PISA2000_SPSS_student_science.txt""]"
2000,CC01Q05,CC01Q05,int64,Much as possible - CC1/5,"{""1"": ""Never"", ""2"": ""Some"", ""3"": ""Often"", ""4"": ""Always""}","[""8"", ""9"", ""7""]","[""data/Global/pisa/historical_raw/2000/student_questionnaire/intstud_read_v3.txt"", ""data/Global/pisa/historical_raw/2000/student_questionnaire/PISA2000_SPSS_student_reading.txt"", ""data/Global/pisa/historical_raw/2000/student_questionnaire/intstud_math_v3.txt"", ""data/Global/pisa/historical_raw/2000/student_questionnaire/PISA2000_SPSS_student_mathematics.txt"", ""data/Global/pisa/historical_raw/2000/student_questionnaire/intstud_scie_v3.txt"", ""data/Global/pisa/historical_raw/2000/student_questionnaire/PISA2000_SPSS_student_science.txt""]"
2000,CC01Q06,CC01Q06,int64,Job- CC1/6,"{""1"": ""Never"", ""2"": ""Some"", ""3"": ""Often"", ""4"": ""Always""}","[""8"", ""9"", ""7""]","[""data/Global/pisa/historical_raw/2000/student_questionnaire/intstud_read_v3.txt"", ""data/Global/pisa/historical_raw/2000/student_questionnaire/PISA2000_SPSS_student_reading.txt"", ""data/Global/pisa/historical_raw/2000/student_questionnaire/intstud_math_v3.txt"", ""data/Global/pisa/historical_raw/2000/student_questionnaire/PISA2000_SPSS_student_mathematics.txt"", ""data/Global/pisa/historical_raw/2000/student_questionnaire/intstud_scie_v3.txt"", ""data/Global/pisa/historical_raw/2000/student_questionnaire/PISA2000_SPSS_student_science.txt""]"
