year,column,observed,total,percent
2000,fila_origen,6214,6214,100.0
2003,fila_origen,10791,10791,100.0
2006,fila_origen,19604,19604,100.0
2009,fila_origen,25887,25887,100.0
2012,fila_origen,25313,25313,100.0
2015,fila_origen,6736,6736,100.0
2018,fila_origen,35943,35943,100.0
2022,fila_origen,30800,30800,100.0
2025,fila_origen,29966,29966,100.0
2000,CNTSCHID,6214,6214,100.0
2003,CNTSCHID,10791,10791,100.0
2006,CNTSCHID,19604,19604,100.0
2009,CNTSCHID,25887,25887,100.0
2012,CNTSCHID,25313,25313,100.0
2015,CNTSCHID,6736,6736,100.0
2018,CNTSCHID,35943,35943,100.0
2022,CNTSCHID,30800,30800,100.0
2025,CNTSCHID,29966,29966,100.0
2000,math_exploracion,3428,6214,55.17
2003,math_exploracion,10791,10791,100.0
2006,math_exploracion,19604,19604,100.0
2009,math_exploracion,25887,25887,100.0
2012,math_exploracion,25313,25313,100.0
2015,math_exploracion,6736,6736,100.0
2018,math_exploracion,35943,35943,100.0
2022,math_exploracion,30800,30800,100.0
2025,math_exploracion,29966,29966,100.0
2000,read_exploracion,6214,6214,100.0
2003,read_exploracion,10791,10791,100.0
2006,read_exploracion,19604,19604,100.0
2009,read_exploracion,25887,25887,100.0
2012,read_exploracion,25313,25313,100.0
2015,read_exploracion,6736,6736,100.0
2018,read_exploracion,35943,35943,100.0
2022,read_exploracion,30800,30800,100.0
2025,read_exploracion,29966,29966,100.0
2000,scie_exploracion,3457,6214,55.63
2003,scie_exploracion,10791,10791,100.0
2006,scie_exploracion,19604,19604,100.0
2009,scie_exploracion,25887,25887,100.0
2012,scie_exploracion,25313,25313,100.0
2015,scie_exploracion,6736,6736,100.0
2018,scie_exploracion,35943,35943,100.0
2022,scie_exploracion,30800,30800,100.0
2025,scie_exploracion,29966,29966,100.0
2000,pisa_year,6214,6214,100.0
2003,pisa_year,10791,10791,100.0
2006,pisa_year,19604,19604,100.0
2009,pisa_year,25887,25887,100.0
2012,pisa_year,25313,25313,100.0
2015,pisa_year,6736,6736,100.0
2018,pisa_year,35943,35943,100.0
2022,pisa_year,30800,30800,100.0
2025,pisa_year,29966,29966,100.0
2000,sexo,6079,6214,97.83
2003,sexo,10790,10791,99.99
2006,sexo,19604,19604,100.0
2009,sexo,25887,25887,100.0
2012,sexo,25313,25313,100.0
2015,sexo,6736,6736,100.0
2018,sexo,35943,35943,100.0
2022,sexo,30800,30800,100.0
2025,sexo,29966,29966,100.0
2000,AGE,6160,6214,99.13
2003,AGE,10791,10791,100.0
2006,AGE,19604,19604,100.0
2009,AGE,25887,25887,100.0
2012,AGE,25313,25313,100.0
2015,AGE,6736,6736,100.0
2018,AGE,35943,35943,100.0
2022,AGE,30800,30800,100.0
2025,AGE,29966,29966,100.0
2000,origen,0,6214,0.0
2003,origen,10632,10791,98.53
2006,origen,19367,19604,98.79
2009,origen,25415,25887,98.18
2012,origen,24824,25313,98.07
2015,origen,6577,6736,97.64
2018,origen,34844,35943,96.94
2022,origen,30800,30800,100.0
2025,origen,29966,29966,100.0
2000,region,0,6214,0.0
2003,region,0,10791,0.0
2006,region,0,19604,0.0
2009,region,0,25887,0.0
2012,region,0,25313,0.0
2015,region,0,6736,0.0
2018,region,0,35943,0.0
2022,region,30800,30800,100.0
2025,region,29966,29966,100.0
2000,sector,0,6214,0.0
