year,column,observed,total,percent
2000,ADAPTIVITY,0,6214,0.0
2003,ADAPTIVITY,0,10791,0.0
2006,ADAPTIVITY,0,19604,0.0
2009,ADAPTIVITY,0,25887,0.0
2012,ADAPTIVITY,0,25313,0.0
2015,ADAPTIVITY,0,6736,0.0
2018,ADAPTIVITY,34736,35943,96.6
2022,ADAPTIVITY,0,30800,0.0
2025,ADAPTIVITY,0,29966,0.0
2000,ADDSCIIN,0,6214,0.0
2003,ADDSCIIN,0,10791,0.0
2006,ADDSCIIN,0,19604,0.0
2009,ADDSCIIN,0,25887,0.0
2012,ADDSCIIN,0,25313,0.0
2015,ADDSCIIN,1910,6736,28.4
2018,ADDSCIIN,0,35943,0.0
2022,ADDSCIIN,0,30800,0.0
2025,ADDSCIIN,0,29966,0.0
2000,ADINST,0,6214,0.0
2003,ADINST,0,10791,0.0
2006,ADINST,0,19604,0.0
2009,ADINST,0,25887,0.0
2012,ADINST,0,25313,0.0
2015,ADINST,5246,6736,77.9
2018,ADINST,0,35943,0.0
2022,ADINST,0,30800,0.0
2025,ADINST,0,29966,0.0
2000,AGE,6160,6214,99.1
2003,AGE,10791,10791,100.0
2006,AGE,19604,19604,100.0
2009,AGE,25887,25887,100.0
2012,AGE,25313,25313,100.0
2015,AGE,6736,6736,100.0
2018,AGE,35943,35943,100.0
2022,AGE,30800,30800,100.0
2025,AGE,29966,29966,100.0
2000,AIUSESCH,0,6214,0.0
2003,AIUSESCH,0,10791,0.0
2006,AIUSESCH,0,19604,0.0
2009,AIUSESCH,0,25887,0.0
2012,AIUSESCH,0,25313,0.0
2015,AIUSESCH,0,6736,0.0
2018,AIUSESCH,0,35943,0.0
2022,AIUSESCH,0,30800,0.0
2025,AIUSESCH,26699,29966,89.1
2000,ANXMAT,0,6214,0.0
2003,ANXMAT,10719,10791,99.3
2006,ANXMAT,0,19604,0.0
2009,ANXMAT,0,25887,0.0
2012,ANXMAT,16632,25313,65.7
2015,ANXMAT,0,6736,0.0
2018,ANXMAT,0,35943,0.0
2022,ANXMAT,27646,30800,89.8
2025,ANXMAT,0,29966,0.0
2000,ANXTEST,0,6214,0.0
2003,ANXTEST,0,10791,0.0
2006,ANXTEST,0,19604,0.0
2009,ANXTEST,0,25887,0.0
2012,ANXTEST,0,25313,0.0
2015,ANXTEST,6544,6736,97.1
2018,ANXTEST,0,35943,0.0
2022,ANXTEST,0,30800,0.0
2025,ANXTEST,0,29966,0.0
2000,ASSERAGR,0,6214,0.0
2003,ASSERAGR,0,10791,0.0
2006,ASSERAGR,0,19604,0.0
2009,ASSERAGR,0,25887,0.0
2012,ASSERAGR,0,25313,0.0
2015,ASSERAGR,0,6736,0.0
2018,ASSERAGR,0,35943,0.0
2022,ASSERAGR,28724,30800,93.3
2025,ASSERAGR,0,29966,0.0
2000,ATSCHL,0,6214,0.0
2003,ATSCHL,10715,10791,99.3
2006,ATSCHL,0,19604,0.0
2009,ATSCHL,24478,25887,94.6
2012,ATSCHL,16515,25313,65.2
2015,ATSCHL,0,6736,0.0
2018,ATSCHL,0,35943,0.0
2022,ATSCHL,0,30800,0.0
2025,ATSCHL,0,29966,0.0
2000,ATTIMM,0,6214,0.0
2003,ATTIMM,0,10791,0.0
2006,ATTIMM,0,19604,0.0
2009,ATTIMM,0,25887,0.0
2012,ATTIMM,0,25313,0.0
2015,ATTIMM,0,6736,0.0
2018,ATTIMM,29324,35943,81.6
2022,ATTIMM,0,30800,0.0
2025,ATTIMM,0,29966,0.0
2000,ATTLNACT,0,6214,0.0
2003,ATTLNACT,0,10791,0.0
2006,ATTLNACT,0,19604,0.0
2009,ATTLNACT,0,25887,0.0
2012,ATTLNACT,16494,25313,65.2
2015,ATTLNACT,0,6736,0.0
2018,ATTLNACT,34055,35943,94.7
2022,ATTLNACT,0,30800,0.0
2025,ATTLNACT,0,29966,0.0
2000,BELONG,6121,6214,98.5
2003,BELONG,10737,10791,99.5
2006,BELONG,0,19604,0.0
2009,BELONG,0,25887,0.0
2012,BELONG,16538,25313,65.3
2015,BELONG,6542,6736,97.1
2018,BELONG,33014,35943,91.9
2022,BELONG,29547,30800,95.9
2025,BELONG,28571,29966,95.3
2000,BODYIMA,0,6214,0.0
2003,BODYIMA,0,10791,0.0
2006,BODYIMA,0,19604,0.0
2009,BODYIMA,0,25887,0.0
2012,BODYIMA,0,25313,0.0
2015,BODYIMA,0,6736,0.0
2018,BODYIMA,26252,35943,73.0
2022,BODYIMA,27452,30800,89.1
2025,BODYIMA,0,29966,0.0
2000,BSMJ,0,6214,0.0
2003,BSMJ,0,10791,0.0
2006,BSMJ,14447,19604,73.7
2009,BSMJ,0,25887,0.0
2012,BSMJ,0,25313,0.0
2015,BSMJ,5996,6736,89.0
2018,BSMJ,29115,35943,81.0
2022,BSMJ,20913,30800,67.9
2025,BSMJ,21759,29966,72.6
2000,BULLIED,0,6214,0.0
2003,BULLIED,0,10791,0.0
2006,BULLIED,0,19604,0.0
2009,BULLIED,0,25887,0.0
2012,BULLIED,0,25313,0.0
2015,BULLIED,0,6736,0.0
2018,BULLIED,0,35943,0.0
2022,BULLIED,29587,30800,96.1
2025,BULLIED,28565,29966,95.3
2000,CLSMAN,0,6214,0.0
2003,CLSMAN,0,10791,0.0
2006,CLSMAN,0,19604,0.0
2009,CLSMAN,0,25887,0.0
2012,CLSMAN,16537,25313,65.3
2015,CLSMAN,0,6736,0.0
2018,CLSMAN,0,35943,0.0
2022,CLSMAN,0,30800,0.0
2025,CLSMAN,0,29966,0.0
2000,CNTSCHID,6214,6214,100.0
2003,CNTSCHID,10791,10791,100.0
2006,CNTSCHID,19604,19604,100.0
2009,CNTSCHID,25887,25887,100.0
2012,CNTSCHID,25313,25313,100.0
2015,CNTSCHID,6736,6736,100.0
2018,CNTSCHID,35943,35943,100.0
2022,CNTSCHID,30800,30800,100.0
2025,CNTSCHID,29966,29966,100.0
2000,COGABIL,0,6214,0.0
2003,COGABIL,0,10791,0.0
2006,COGABIL,0,19604,0.0
2009,COGABIL,0,25887,0.0
2012,COGABIL,0,25313,0.0
2015,COGABIL,0,6736,0.0
2018,COGABIL,0,35943,0.0
2022,COGABIL,0,30800,0.0
2025,COGABIL,24343,29966,81.2
2000,COGACMCO,0,6214,0.0
2003,COGACMCO,0,10791,0.0
2006,COGACMCO,0,19604,0.0
2009,COGACMCO,0,25887,0.0
2012,COGACMCO,0,25313,0.0
2015,COGACMCO,0,6736,0.0
2018,COGACMCO,0,35943,0.0
2022,COGACMCO,28121,30800,91.3
2025,COGACMCO,0,29966,0.0
2000,COGACRCO,0,6214,0.0
2003,COGACRCO,0,10791,0.0
2006,COGACRCO,0,19604,0.0
2009,COGACRCO,0,25887,0.0
2012,COGACRCO,0,25313,0.0
2015,COGACRCO,0,6736,0.0
2018,COGACRCO,0,35943,0.0
2022,COGACRCO,28381,30800,92.1
2025,COGACRCO,0,29966,0.0
2000,COGACSC,0,6214,0.0
2003,COGACSC,0,10791,0.0
2006,COGACSC,0,19604,0.0
2009,COGACSC,0,25887,0.0
2012,COGACSC,0,25313,0.0
2015,COGACSC,0,6736,0.0
2018,COGACSC,0,35943,0.0
2022,COGACSC,0,30800,0.0
2025,COGACSC,26321,29966,87.8
2000,COGACT,0,6214,0.0
2003,COGACT,0,10791,0.0
2006,COGACT,0,19604,0.0
2009,COGACT,0,25887,0.0
2012,COGACT,16639,25313,65.7
2015,COGACT,0,6736,0.0
2018,COGACT,0,35943,0.0
2022,COGACT,0,30800,0.0
2025,COGACT,0,29966,0.0
2000,COGFLEX,0,6214,0.0
2003,COGFLEX,0,10791,0.0
2006,COGFLEX,0,19604,0.0
2009,COGFLEX,0,25887,0.0
2012,COGFLEX,0,25313,0.0
2015,COGFLEX,0,6736,0.0
2018,COGFLEX,31371,35943,87.3
2022,COGFLEX,0,30800,0.0
2025,COGFLEX,0,29966,0.0
2000,COLLENEFF,0,6214,0.0
2003,COLLENEFF,0,10791,0.0
2006,COLLENEFF,0,19604,0.0
2009,COLLENEFF,0,25887,0.0
2012,COLLENEFF,0,25313,0.0
2015,COLLENEFF,0,6736,0.0
2018,COLLENEFF,0,35943,0.0
2022,COLLENEFF,0,30800,0.0
2025,COLLENEFF,26913,29966,89.8
2000,COMPETE,0,6214,0.0
2003,COMPETE,0,10791,0.0
2006,COMPETE,0,19604,0.0
2009,COMPETE,0,25887,0.0
2012,COMPETE,0,25313,0.0
2015,COMPETE,0,6736,0.0
2018,COMPETE,33835,35943,94.1
2022,COMPETE,0,30800,0.0
2025,COMPETE,0,29966,0.0
2000,COOPAGR,0,6214,0.0
2003,COOPAGR,0,10791,0.0
2006,COOPAGR,0,19604,0.0
2009,COOPAGR,0,25887,0.0
2012,COOPAGR,0,25313,0.0
2015,COOPAGR,0,6736,0.0
2018,COOPAGR,0,35943,0.0
2022,COOPAGR,29046,30800,94.3
2025,COOPAGR,0,29966,0.0
2000,COOPERATE,0,6214,0.0
2003,COOPERATE,0,10791,0.0
2006,COOPERATE,0,19604,0.0
2009,COOPERATE,0,25887,0.0
2012,COOPERATE,0,25313,0.0
2015,COOPERATE,6540,6736,97.1
2018,COOPERATE,0,35943,0.0
2022,COOPERATE,0,30800,0.0
2025,COOPERATE,0,29966,0.0
2000,CPSVALUE,0,6214,0.0
2003,CPSVALUE,0,10791,0.0
2006,CPSVALUE,0,19604,0.0
2009,CPSVALUE,0,25887,0.0
2012,CPSVALUE,0,25313,0.0
2015,CPSVALUE,6542,6736,97.1
2018,CPSVALUE,0,35943,0.0
2022,CPSVALUE,0,30800,0.0
2025,CPSVALUE,0,29966,0.0
2000,CREATAS,0,6214,0.0
2003,CREATAS,0,10791,0.0
2006,CREATAS,0,19604,0.0
2009,CREATAS,0,25887,0.0
2012,CREATAS,0,25313,0.0
2015,CREATAS,0,6736,0.0
2018,CREATAS,0,35943,0.0
2022,CREATAS,24100,30800,78.2
2025,CREATAS,0,29966,0.0
2000,CREATEFF,0,6214,0.0
2003,CREATEFF,0,10791,0.0
2006,CREATEFF,0,19604,0.0
2009,CREATEFF,0,25887,0.0
2012,CREATEFF,0,25313,0.0
2015,CREATEFF,0,6736,0.0
2018,CREATEFF,0,35943,0.0
2022,CREATEFF,27522,30800,89.4
2025,CREATEFF,0,29966,0.0
2000,CREATFAM,0,6214,0.0
2003,CREATFAM,0,10791,0.0
2006,CREATFAM,0,19604,0.0
2009,CREATFAM,0,25887,0.0
2012,CREATFAM,0,25313,0.0
2015,CREATFAM,0,6736,0.0
2018,CREATFAM,0,35943,0.0
2022,CREATFAM,27228,30800,88.4
2025,CREATFAM,0,29966,0.0
2000,CREATOOS,0,6214,0.0
2003,CREATOOS,0,10791,0.0
2006,CREATOOS,0,19604,0.0
2009,CREATOOS,0,25887,0.0
2012,CREATOOS,0,25313,0.0
2015,CREATOOS,0,6736,0.0
2018,CREATOOS,0,35943,0.0
2022,CREATOOS,23772,30800,77.2
2025,CREATOOS,0,29966,0.0
2000,CREATSCH,0,6214,0.0
2003,CREATSCH,0,10791,0.0
2006,CREATSCH,0,19604,0.0
2009,CREATSCH,0,25887,0.0
2012,CREATSCH,0,25313,0.0
2015,CREATSCH,0,6736,0.0
2018,CREATSCH,0,35943,0.0
2022,CREATSCH,27237,30800,88.4
2025,CREATSCH,0,29966,0.0
2000,CSTRAT,0,6214,0.0
2003,CSTRAT,10704,10791,99.2
2006,CSTRAT,0,19604,0.0
2009,CSTRAT,25635,25887,99.0
2012,CSTRAT,0,25313,0.0
2015,CSTRAT,0,6736,0.0
2018,CSTRAT,0,35943,0.0
2022,CSTRAT,0,30800,0.0
2025,CSTRAT,0,29966,0.0
2000,CULTPOSS,6137,6214,98.8
2003,CULTPOSS,10776,10791,99.9
2006,CULTPOSS,19465,19604,99.3
2009,CULTPOSS,25582,25887,98.8
2012,CULTPOSS,0,25313,0.0
2015,CULTPOSS,6537,6736,97.0
2018,CULTPOSS,35380,35943,98.4
2022,CULTPOSS,0,30800,0.0
2025,CULTPOSS,0,29966,0.0
2000,CURIO,0,6214,0.0
2003,CURIO,0,10791,0.0
2006,CURIO,0,19604,0.0
2009,CURIO,0,25887,0.0
2012,CURIO,0,25313,0.0
2015,CURIO,0,6736,0.0
2018,CURIO,0,35943,0.0
2022,CURIO,0,30800,0.0
2025,CURIO,25136,29966,83.9
2000,CURIOAGR,0,6214,0.0
2003,CURIOAGR,0,10791,0.0
2006,CURIOAGR,0,19604,0.0
2009,CURIOAGR,0,25887,0.0
2012,CURIOAGR,0,25313,0.0
2015,CURIOAGR,0,6736,0.0
2018,CURIOAGR,0,35943,0.0
2022,CURIOAGR,28994,30800,94.1
2025,CURIOAGR,0,29966,0.0
2000,CURSUPP,0,6214,0.0
2003,CURSUPP,0,10791,0.0
2006,CURSUPP,0,19604,0.0
2009,CURSUPP,0,25887,0.0
2012,CURSUPP,0,25313,0.0
2015,CURSUPP,4699,6736,69.8
2018,CURSUPP,0,35943,0.0
2022,CURSUPP,0,30800,0.0
2025,CURSUPP,0,29966,0.0
2000,DEFFORT,0,6214,0.0
2003,DEFFORT,0,10791,0.0
2006,DEFFORT,19013,19604,97.0
2009,DEFFORT,0,25887,0.0
2012,DEFFORT,23609,25313,93.3
2015,DEFFORT,0,6736,0.0
2018,DEFFORT,0,35943,0.0
2022,DEFFORT,0,30800,0.0
2025,DEFFORT,0,29966,0.0
2000,DIGINTLRN,0,6214,0.0
2003,DIGINTLRN,0,10791,0.0
