year,target,source,rule,source_label
2000,pisa_year,constant,Ciclo,
2000,fila_origen,row,Fila base cero en el extracto histórico del ciclo; ver fuentes.json,
2000,CNTSCHID,SCHOOLID,ID solo dentro del ciclo,School ID (unique)
2000,W_FSTUWT,W_FSTUWT,Peso general; en 2000 usar peso específico por materia,Student population weight
2000,math_exploracion,"PV1MATH,PV2MATH,PV3MATH,PV4MATH,PV5MATH",Media de todos los PV; nula si falta alguno; no es nota individual,
2000,numero_pv_math,"PV1MATH,PV2MATH,PV3MATH,PV4MATH,PV5MATH","Número de PV por diseño, no número de respuestas",
2000,peso_math,PESO_MATH,Peso del archivo de la materia en 2000; peso final en el resto,
2000,read_exploracion,"PV1READ,PV2READ,PV3READ,PV4READ,PV5READ",Media de todos los PV; nula si falta alguno; no es nota individual,
2000,numero_pv_read,"PV1READ,PV2READ,PV3READ,PV4READ,PV5READ","Número de PV por diseño, no número de respuestas",
2000,peso_read,PESO_READ,Peso del archivo de la materia en 2000; peso final en el resto,
2000,scie_exploracion,"PV1SCIE,PV2SCIE,PV3SCIE,PV4SCIE,PV5SCIE",Media de todos los PV; nula si falta alguno; no es nota individual,
2000,numero_pv_scie,"PV1SCIE,PV2SCIE,PV3SCIE,PV4SCIE,PV5SCIE","Número de PV por diseño, no número de respuestas",
2000,peso_scie,PESO_SCIE,Peso del archivo de la materia en 2000; peso final en el resto,
2000,AGE,AGE,Edad en años; en 2000 meses / 12,Student age in months
2000,HISEI,HISEI,"Mismo constructo, índice original NO reescalado entre ciclos",Highest In. Socio-Econ. Index
2000,BELONG,BELONG,"Mismo constructo, índice original NO reescalado entre ciclos",Sense of belonging (WLE)
2000,sexo,ST03Q01,1 femenino / 2 masculino; No varón no tiene idéntica definición en 2025,Sex - Q3
2000,aviso_ciclo,methodology,Advertencia visible,
2000,origen,,No integrado: ausente o correspondencia histórica no validada; NO equivale a cero,
2000,region,,No integrado: ausente o correspondencia histórica no validada; NO equivale a cero,
2000,sector,,No integrado: ausente o correspondencia histórica no validada; NO equivale a cero,
2000,GRADE,,No integrado: ausente o correspondencia histórica no validada; NO equivale a cero,
2000,repeticion,,No integrado: ausente o correspondencia histórica no validada; NO equivale a cero,
2000,educacion_familiar,,No integrado: ausente o correspondencia histórica no validada; NO equivale a cero,
2000,nivel_socioeconomico,,No integrado: ausente o correspondencia histórica no validada; NO equivale a cero,
2000,ESCS,,No integrado: ausente o correspondencia histórica no validada; NO equivale a cero,
2000,PAREDINT,,No integrado: ausente o correspondencia histórica no validada; NO equivale a cero,
2000,HOMEPOS,,No integrado: ausente o correspondencia histórica no validada; NO equivale a cero,
2000,FAMSUP,,No integrado: ausente o correspondencia histórica no validada; NO equivale a cero,
2000,BULLIED,,No integrado: ausente o correspondencia histórica no validada; NO equivale a cero,
2000,ST016Q01NA,,No integrado: ausente o correspondencia histórica no validada; NO equivale a cero,
2000,recursos_hogar,,No integrado: ausente o correspondencia histórica no validada; NO equivale a cero,
2000,posesiones_hogar,,No integrado: ausente o correspondencia histórica no validada; NO equivale a cero,
2000,apoyo_familiar,,No integrado: ausente o correspondencia histórica no validada; NO equivale a cero,
2000,ST438Q01DA,,No integrado: ausente o correspondencia histórica no validada; NO equivale a cero,
2000,ST438Q02DA,,No integrado: ausente o correspondencia histórica no validada; NO equivale a cero,
2000,ST438Q03DA,,No integrado: ausente o correspondencia histórica no validada; NO equivale a cero,
2000,ST438Q04DA,,No integrado: ausente o correspondencia histórica no validada; NO equivale a cero,
2000,IC170Q10DA,,No integrado: ausente o correspondencia histórica no validada; NO equivale a cero,
2000,IC171Q10DA,,No integrado: ausente o correspondencia histórica no validada; NO equivale a cero,
2000,ST436Q16DA,,No integrado: ausente o correspondencia histórica no validada; NO equivale a cero,
2000,IC182Q05DA,,No integrado: ausente o correspondencia histórica no validada; NO equivale a cero,
2000,AIUSESCH,,No integrado: ausente o correspondencia histórica no validada; NO equivale a cero,
2000,ICTSCH,,No integrado: ausente o correspondencia histórica no validada; NO equivale a cero,
2000,ICTHOME,,No integrado: ausente o correspondencia histórica no validada; NO equivale a cero,
2000,ICTQUAL,,No integrado: ausente o correspondencia histórica no validada; NO equivale a cero,
2000,ICTFEED,,No integrado: ausente o correspondencia histórica no validada; NO equivale a cero,
2000,ICTOUT,,No integrado: ausente o correspondencia histórica no validada; NO equivale a cero,
2000,ICTWKDY,,No integrado: ausente o correspondencia histórica no validada; NO equivale a cero,
2000,ICTWKEND,,No integrado: ausente o correspondencia histórica no validada; NO equivale a cero,
2000,ICTREG,,No integrado: ausente o correspondencia histórica no validada; NO equivale a cero,
2000,ICTINFO,,No integrado: ausente o correspondencia histórica no validada; NO equivale a cero,
2000,ICTDISTR,,No integrado: ausente o correspondencia histórica no validada; NO equivale a cero,
