columna,2000,2003,2006,2012,2015,2018,2022,2025
ADAPTIVITY,,,,,,si,,
ADDSCIIN,,,,,si,,,
ADINST,,,,,si,,,
AGE,si,si,si,si,si,si,si,si
ANXMAT,,si,,si,,,si,
ANXTEST,,,,,si,,,
ASSERAGR,,,,,,,si,
ATTIMM,,,,,,si,,
ATTLNACT,,,,,,si,,
BELONG,si,si,,si,si,si,si,si
BODYIMA,,,,,,si,si,
BSMJ,,si,si,,si,si,si,si
CNTSCHID,si,si,si,si,si,si,si,si
CNTSTUID,si,si,si,si,si,si,si,si
COGACMCO,,,,,,,si,
COGACRCO,,,,,,,si,
COGACSC,,,,,,,,si
COGFLEX,,,,,,si,,
COLLENEFF,,,,,,,,si
COMPETE,,,,,,si,,
COOPAGR,,,,,,,si,
COOPERATE,,,,,si,,,
CPSVALUE,,,,,si,,,
CREATAS,,,,,,,si,
CREATEFF,,,,,,,si,
CREATFAM,,,,,,,si,
CREATOOS,,,,,,,si,
CREATSCH,,,,,,,si,
CULTPOSS,,,,,si,si,,
CURIOAGR,,,,,,,si,
CURSUPP,,,,,si,si,si,
DIRINS,,,,,,si,,
DISCLIM,,,,,,,si,
DISCLIMA,,,,,,si,,
DISCRIM,,,,,,si,,
DURECEC,,,,,si,si,si,
EFFORT1,,,,,,si,si,si
EMOCOAGR,,,,,,,si,
EMOSUPS,,,,,si,si,,
EMPATAGR,,,,,,,si,
ENGSCIPR,,,,,,,,si
ENVAPART,,,,,,,,si
ENVAWARE,,,,,si,,,si
ENVCAPCH,,,,,,,,si
ENVOPT,,,,,si,,,
EPIST,,,,,si,,,
ESCS,si,si,si,si,si,si,si,si
EUDMO,,,,,,si,,
EXPECEDU,,,,,,,si,si
EXPO21ST,,,,,,,si,
EXPOFA,,,,,,,si,
EXPWB,,,,,,,si,
FCFMLRTY,,,,,,si,si,
FLCONFIN,,,,,,si,si,
FLCONICT,,,,,,si,si,
FLFAMILY,,,,,,si,si,
FLSCHOOL,,,,,,si,si,
GCAWARE,,,,,,si,,
GCSELFEFF,,,,,,si,,
GFOFAIL,,,,,,si,,
GLOBMIND,,,,,,si,,
GRADE,,si,,si,si,si,si,si
GROSAGR,,,,,,,si,
HADDINST,,,,,si,,,
HEDRES,,,,,si,si,,
HISEI,si,si,si,si,si,si,si,si
HOMEPOS,,si,si,si,si,si,si,si
HOMESCH,,,,,si,si,,
IBTEACH,,,,,si,,,
ICTRES,,,,,si,si,si,si
INFOCAR,,,,,,si,,
INSTSCIE,,,,,si,,,
INTBRSCI,,,,,si,,,
INTCULT,,,,,,si,,
JOYREAD,,,,,,si,,
LEARRES,,,,,,,si,
LIFESAT,,,,,,,si,
LMINS,,,,,si,si,,
MASTGOAL,,,,,,si,,
MATHEASE,,,,,,,si,
MATHEF21,,,,,,,si,
MATHEFF,,,,,,,si,
MATHMOT,,,,,,,si,
MATHPERS,,,,,,,si,
METASPAM,,,,,,si,,
METASUM,,,,,,si,,
MISSSC,,,,,,,si,
MMINS,,,,,si,si,,
MOTIVAT,,,,,si,,,
OPENART,,,,,,,si,
OPENVLRN,,,,,,,,si
OUTHOURS,,,,,si,,,
PARED,,si,si,si,,,,
PAREDINT,,,,,si,si,,
PERCOMP,,,,,,si,,
PERCOOP,,,,,,si,,
PERFEED,,,,,si,si,,
PERSEVAGR,,,,,,,si,
PERSPECT,,,,,,si,,
PESO_MATH,si,,,,,,,
PESO_SCIE,si,,,,,,,
PISADIFF,,,,,,si,,
PQENPERC,,,,,si,,,si
PQENVOPT,,,,,si,,,si
PQGENSCI,,,,,si,,,si
PQSCHOOL,,,,,si,si,si,si
PRESUPP,,,,,si,si,,si
PROBSELF,,,,,,,si,
