id,codigo,titulo,fecha,ficheros
14811,3463,BARÓMETRO DE JUNIO 2024,2024-06-01,
14803,3457,BARÓMETRO DE MAYO 2024,2024-05-03,
14788,3450,BARÓMETRO DE ABRIL 2024,2024-04-01,
14779,3445,BARÓMETRO DE MARZO 2024,2024-03-01,
14774,3441,BARÓMETRO DE FEBRERO 2024,2024-02-01,
14767,3435,BARÓMETRO DE ENERO 2024,2024-01-02,
14760,3431,BARÓMETRO DE DICIEMBRE 2023,2023-12-01,
14757,3427,BARÓMETRO DE NOVIEMBRE 2023,2023-11-01,
14749,3423,BARÓMETRO DE OCTUBRE 2023,2023-10-02,
14752,3420,BARÓMETRO DE SEPTIEMBRE 2023. POSTELECTORAL ELECCIONES GENERALES 2023,2023-09-01,
14729,3413,BARÓMETRO DE JULIO 2023,2023-07-01,
14723,3410,BARÓMETRO DE JUNIO 2023. POSTELECTORAL ELECCIONES MUNICIPALES Y AUTONÓMICAS 2023,2023-06-01,
14713,3405,BARÓMETRO DE MAYO 2023,2023-05-03,
14704,3403,BARÓMETRO DE ABRIL 2023,2023-04-01,
14695,3398,BARÓMETRO DE MARZO 2023,2023-03-01,
14692,3395,BARÓMETRO DE FEBRERO 2023,2023-02-01,
14686,3390,BARÓMETRO DE ENERO 2023,2023-01-02,
14676,3388,BARÓMETRO DE DICIEMBRE 2022,2022-12-01,
14673,3384,BARÓMETRO DE NOVIEMBRE 2022,2022-11-02,
14666,3380,BARÓMETRO DE OCTUBRE 2022,2022-10-01,
14658,3375,BARÓMETRO DE SEPTIEMBRE 2022,2022-09-01,
14644,3371,BARÓMETRO DE JULIO 2022,2022-07-01,
14634,3366,BARÓMETRO DE JUNIO 2022,2022-06-01,
14630,3363,BARÓMETRO DE MAYO 2022,2022-05-03,
14623,3359,BARÓMETRO DE ABRIL 2022,2022-04-01,
14616,3355,BARÓMETRO DE MARZO 2022,2022-03-01,
14611,3351,BARÓMETRO DE FEBRERO 2022,2022-02-01,
14604,3347,BARÓMETRO DE ENERO 2022,2022-01-03,
14596,3344,BARÓMETRO DE DICIEMBRE 2021,2021-12-01,
14595,3340,BARÓMETRO DE NOVIEMBRE 2021,2021-11-02,
14587,3337,BARÓMETRO DE OCTUBRE 2021,2021-10-01,
14580,3334,BARÓMETRO DE SEPTIEMBRE 2021,2021-09-01,
14577,3330,BARÓMETRO DE JULIO 2021,2021-07-02,
14572,3326,BARÓMETRO DE JUNIO 2021,2021-06-02,
14567,3322,BARÓMETRO DE MAYO 2021,2021-05-04,
14560,3318,BARÓMETRO DE ABRIL 2021,2021-04-05,
14553,3313,BARÓMETRO DE MARZO 2021,2021-03-01,
14549,3309,BARÓMETRO DE FEBRERO 2021,2021-02-03,
14543,3307,BARÓMETRO DE ENERO 2021,2021-01-07,
14536,3303,BARÓMETRO DE DICIEMBRE 2020,2020-12-01,
14532,3300,BARÓMETRO DE NOVIEMBRE 2020,2020-11-03,
14527,3296,BARÓMETRO DE OCTUBRE 2020,2020-10-01,
14519,3292,BARÓMETRO DE SEPTIEMBRE 2020,2020-09-01,
14515,3288,BARÓMETRO DE JULIO 2020,2020-07-01,
14510,3283,BARÓMETRO DE JUNIO 2020,2020-06-01,
14508,3281,BARÓMETRO DE MAYO 2020,2020-05-04,
14505,3279,BARÓMETRO DE ABRIL 2020,2020-04-01,
14493,3277,BARÓMETRO DE MARZO 2020,2020-03-01,
14485,3273,BARÓMETRO DE FEBRERO 2020,2020-02-01,
14482,3271,BARÓMETRO DE ENERO 2020,2020-01-02,
14479,3269,BARÓMETRO DE DICIEMBRE 2019. POSTELECTORAL ELECCIONES GENERALES 2019,2019-12-01,
14476,3267,BARÓMETRO DE NOVIEMBRE 2019,2019-11-01,
14469,3261,BARÓMETRO DE SEPTIEMBRE 2019,2019-09-01,
14462,3257,BARÓMETRO DE JULIO 2019,2019-07-01,
14458,3252,BARÓMETRO DE JUNIO 2019,2019-06-01,
14452,3247,BARÓMETRO DE MAYO 2019,2019-05-01,
14444,3240,BARÓMETRO DE FEBRERO 2019,2019-02-01,
14442,3238,BARÓMETRO DE ENERO 2019,2019-01-01,
14439,3234,BARÓMETRO DE DICIEMBRE 2018,2018-12-01,
14435,3231,BARÓMETRO DE NOVIEMBRE 2018,2018-11-01,
14430,3226,BARÓMETRO DE OCTUBRE 2018,2018-10-01,
14424,3223,BARÓMETRO DE SEPTIEMBRE 2018,2018-09-01,
14416,3219,BARÓMETRO DE JULIO 2018,2018-07-01,
14404,3217,BARÓMETRO DE JUNIO 2018,2018-06-01,
14399,3213,BARÓMETRO DE MAYO 2018,2018-05-01,
14391,3210,BARÓMETRO DE ABRIL 2018,2018-04-01,
14387,3207,BARÓMETRO DE MARZO 2018,2018-03-01,
14383,3205,BARÓMETRO DE FEBRERO 2018,2018-02-01,
14381,3203,BARÓMETRO DE ENERO 2018,2018-01-02,
14377,3199,BARÓMETRO DE DICIEMBRE 2017,2017-12-01,
14370,3195,BARÓMETRO DE NOVIEMBRE 2017,2017-11-01,
14364,3191,BARÓMETRO DE OCTUBRE 2017,2017-10-02,
14359,3187,BARÓMETRO DE SEPTIEMBRE 2017,2017-09-01,
14352,3183,BARÓMETRO DE JULIO 2017,2017-07-01,
14345,3179,BARÓMETRO DE JUNIO 2017,2017-06-01,
14339,3175,BARÓMETRO DE MAYO 2017,2017-05-01,
14338,3173,BARÓMETRO DE ABRIL 2017,2017-04-01,
14333,3170,BARÓMETRO DE MARZO 2017,2017-03-01,
14329,3168,BARÓMETRO DE FEBRERO 2017,2017-02-01,
14325,3164,BARÓMETRO DE ENERO 2017,2017-01-02,
14320,3162,BARÓMETRO DE DICIEMBRE 2016,2016-12-01,
14312,3159,BARÓMETRO DE NOVIEMBRE 2016,2016-11-01,
14311,3156,BARÓMETRO DE OCTUBRE 2016,2016-10-01,
14298,3149,BARÓMETRO DE SEPTIEMBRE 2016,2016-09-03,
14293,3146,BARÓMETRO DE JULIO 2016. OPINIÓN PÚBLICA Y POLÍTICA FISCAL (XXXIII),2016-07-01,
14289,3142,BARÓMETRO DE JUNIO 2016,2016-06-01,
14282,3138,BARÓMETRO DE MAYO 2016,2016-05-01,
14277,3134,BARÓMETRO DE ABRIL 2016,2016-04-01,
14272,3131,BARÓMETRO DE MARZO 2016,2016-03-01,
14263,3128,BARÓMETRO DE FEBRERO 2016,2016-02-01,
14256,3124,BARÓMETRO DE ENERO 2016,2016-01-02,
14250,3121,BARÓMETRO DE DICIEMBRE 2015,2015-12-01,
14248,3118,BARÓMETRO DE NOVIEMBRE 2015,2015-11-01,
14243,3114,BARÓMETRO DE OCTUBRE 2015,2015-10-01,
14234,3109,BARÓMETRO DE SEPTIEMBRE 2015,2015-09-02,
14228,3104,BARÓMETRO DE JULIO 2015,2015-07-01,
14212,3101,BARÓMETRO DE JUNIO 2015,2015-06-02,
14198,3082,BARÓMETRO DE MAYO 2015,2015-05-01,
14179,3080,BARÓMETRO DE ABRIL 2015,2015-04-01,
14168,3057,BARÓMETRO DE MARZO 2015,2015-03-02,
14158,3052,BARÓMETRO DE FEBRERO 2015,2015-02-02,
14141,3050,BARÓMETRO DE ENERO 2015,2015-01-02,
14138,3047,BARÓMETRO DE DICIEMBRE 2014,2014-12-01,
14127,3045,BARÓMETRO DE NOVIEMBRE 2014,2014-11-04,
14119,3041,BARÓMETRO DE OCTUBRE 2014,2014-10-01,
14107,3038,BARÓMETRO DE SEPTIEMBRE 2014,2014-09-02,
14099,3033,BARÓMETRO DE JULIO 2014,2014-07-01,
14090,3029,BARÓMETRO DE JUNIO 2014,2014-06-02,
14080,3024,BARÓMETRO DE MAYO 2014,2014-05-01,
14067,3021,BARÓMETRO DE ABRIL 2014,2014-04-01,
14054,3017,BARÓMETRO DE MARZO 2014,2014-03-01,
14043,3013,BARÓMETRO DE FEBRERO 2014,2014-02-01,
14036,3011,BARÓMETRO DE ENERO 2014,2014-01-03,
14020,3008,BARÓMETRO DE DICIEMBRE 2013,2013-12-01,
14005,3005,BARÓMETRO DE NOVIEMBRE 2013,2013-11-01,
14029,3001,BARÓMETRO DE OCTUBRE 2013,2013-10-01,
14028,2997,BARÓMETRO DE SEPTIEMBRE 2013,2013-09-03,
14014,2993,BARÓMETRO DE JULIO 2013,2013-07-01,
14012,2990,BARÓMETRO DE JUNIO 2013,2013-06-03,
14010,2987,BARÓMETRO DE MAYO 2013,2013-05-01,
14009,2984,BARÓMETRO DE ABRIL 2013,2013-04-01,
13704,2981,BARÓMETRO DE MARZO 2013,2013-03-01,
13664,2978,BARÓMETRO DE FEBRERO 2013,2013-02-04,
13504,2976,BARÓMETRO DE ENERO 2013,2013-01-04,
13364,2972,BARÓMETRO DE DICIEMBRE 2012,2012-12-01,
13204,2966,BARÓMETRO DE NOVIEMBRE 2012,2012-11-05,
13224,2960,BARÓMETRO DE OCTUBRE 2012,2012-10-02,
13104,2954,BARÓMETRO DE SEPTIEMBRE 2012,2012-09-03,
12944,2951,BARÓMETRO DE JULIO 2012,2012-07-02,
12884,2948,BARÓMETRO DE JUNIO 2012,2012-06-02,
12804,2944,BARÓMETRO DE MAYO 2012,2012-05-03,
12704,2941,BARÓMETRO DE ABRIL 2012,2012-04-07,
12684,2935,BARÓMETRO DE MARZO 2012,2012-03-02,
12564,2932,BARÓMETRO DE FEBRERO 2012,2012-02-01,
12184,2927,BARÓMETRO DE ENERO 2012,2012-01-04,
12104,2923,BARÓMETRO DE DICIEMBRE 2011,2011-12-01,
